id,ax,ay,az
319,12.688,-15.616,1002.352
320,11.224,-16.592,1000.4
321,11.712,-20.496,1002.352
322,15.128,-17.568,1004.304
323,12.2,-15.128,1003.816
324,10.736,-14.152,996.984
325,11.224,-16.592,1001.864
326,12.688,-15.128,999.912
327,11.224,-18.056,1000.4
328,15.128,-17.08,1005.768
329,11.712,-14.64,1002.352
330,13.176,-18.544,998.936
331,11.224,-15.616,1004.792
332,7.808,-15.616,1000.888
333,14.152,-13.176,1006.256
334,10.736,-16.104,1002.352
335,11.224,-18.056,1000.4
336,11.712,-16.104,1000.888
337,13.176,-13.176,1002.352
338,13.664,-13.664,1006.256
339,11.712,-14.152,1001.376
340,10.248,-17.568,1004.304
341,12.2,-14.152,1002.84
342,12.2,-14.64,1001.864
343,9.76,-14.64,1005.28
344,11.712,-16.104,1000.4
345,11.224,-15.616,1006.256
346,11.224,-18.056,1002.84
347,12.2,-18.056,1004.792
348,9.272,-17.568,1002.84
349,11.224,-14.64,1001.864
350,10.736,-16.104,1001.864
351,13.176,-20.496,1002.352
352,10.736,-14.64,1007.232
353,14.152,-15.128,1005.768
354,12.2,-19.032,1001.376
355,13.664,-16.592,1003.816
356,11.224,-15.128,1004.792
357,15.128,-14.152,1004.304
358,13.176,-17.08,1003.328
359,12.2,-15.128,1000.4
360,11.712,-17.08,1002.84
361,11.224,-15.616,1001.376
362,14.152,-16.104,1003.328
363,13.176,-16.104,1003.328
364,11.224,-16.592,1004.304
365,12.688,-17.568,1002.84
366,14.152,-17.568,999.912
367,12.2,-16.104,999.912
368,11.712,-16.104,1002.84
369,13.176,-19.52,998.448
370,13.176,-19.52,1000.888
371,11.224,-17.568,1003.328
372,14.152,-15.616,1003.328
373,9.76,-15.128,999.912
374,8.296,-11.224,997.96
375,11.224,-14.64,997.96
376,15.616,-13.664,1000.4
377,13.664,-16.104,1002.352
378,12.688,-16.104,1002.84
379,9.76,-15.616,999.912
380,14.64,-15.128,1001.864
381,14.64,-17.568,1000.888
382,15.128,-17.08,1000.888
383,12.688,-14.64,999.424
384,10.248,-20.008,1007.232
385,13.664,-14.64,1003.816
386,10.736,-16.592,1000.888
387,7.808,-20.496,998.936
388,10.736,-16.104,1002.352
389,13.176,-16.592,1002.352
390,13.664,-19.52,1002.352
391,11.224,-16.592,1003.328
392,14.64,-14.64,1000.4
393,12.688,-15.616,1002.352
394,11.224,-16.592,1004.792
395,18.544,-16.104,1005.28
396,14.152,-16.104,1004.304
397,10.736,-19.032,1008.696
398,14.152,-17.08,1002.84
399,13.664,-16.104,1001.864
400,12.688,-14.64,999.912
401,12.2,-17.08,1005.28
402,11.712,-15.128,1002.352
403,12.2,-18.056,1003.816
404,11.224,-14.64,1002.352
405,14.64,-20.496,1002.84
406,13.664,-14.64,1002.352
407,14.152,-17.568,1002.84
408,9.76,-16.104,1003.328
409,14.64,-16.104,1003.816
410,12.688,-19.52,1005.768
411,11.712,-16.592,1005.28
412,7.32,-17.568,1002.352
413,12.688,-14.152,1003.816
414,11.712,-20.008,1001.376
415,15.128,-14.152,1002.352
416,10.736,-14.152,999.912
417,15.616,-18.056,1001.376
418,16.104,-17.08,1002.84
419,10.248,-18.056,1005.768
420,16.592,-17.568,1005.28
421,9.76,-17.568,1005.768
422,11.712,-19.52,1003.816
423,12.2,-20.496,1002.84
424,13.664,-17.568,1003.328
425,12.688,-16.104,996.496
426,17.08,-20.008,1004.304
427,12.2,-19.032,1002.352
428,9.272,-13.664,1004.304
429,11.224,-19.032,1002.352
430,9.272,-17.568,1003.328
431,10.736,-19.032,1001.864
432,13.664,-12.688,1004.304
433,16.104,-16.104,1002.352
434,13.176,-21.472,999.424
435,12.2,-19.032,1003.328
436,15.128,-17.568,1008.208
437,11.224,-19.032,1004.792
438,17.568,-19.032,999.424
439,14.152,-19.52,1001.864
440,17.08,-15.128,1005.28
441,16.104,-16.592,1004.792
442,15.128,-14.64,1002.352
443,14.152,-20.984,1004.792
444,12.2,-19.032,1000.888
445,12.2,-16.592,1003.328
446,15.128,-16.592,1000.888
447,15.128,-18.056,1002.84
448,15.128,-14.64,998.936
449,15.616,-14.152,999.912
450,13.176,-16.592,1002.352
451,15.616,-15.128,999.912
452,15.128,-12.2,1000.4
453,13.176,-11.712,999.912
454,16.104,-16.592,1002.84
455,13.176,-15.128,1003.816
456,17.08,-17.568,1001.864
457,19.032,-14.64,1006.744
458,18.544,-15.616,1008.208
459,12.2,-15.128,1005.28
460,11.712,-14.152,1003.816
461,18.544,-15.616,1004.304
462,14.152,-18.544,1004.304
463,15.128,-18.056,1005.768
464,13.664,-18.544,1004.304
465,15.616,-13.664,1000.888
466,16.592,-14.64,1001.864
467,14.64,-13.664,1000.888
468,14.64,-18.056,1004.304
469,14.64,-17.568,1003.816
470,16.104,-15.128,1002.84
471,13.664,-16.104,1003.328
472,9.272,-14.64,1005.768
473,12.2,-17.568,1003.816
474,13.176,-17.08,1005.28
475,13.664,-16.592,1005.768
476,14.152,-18.544,1000.4
477,15.128,-16.592,1002.84
478,15.128,-17.568,1004.792
479,16.104,-17.568,1004.304
480,14.152,-18.544,1003.328
481,14.152,-17.568,1005.28
482,14.64,-16.104,1000.4
483,13.176,-20.008,1003.328
484,16.104,-17.08,1006.256
485,15.616,-20.008,1001.376
486,10.248,-20.008,1001.376
487,12.2,-14.64,1003.328
488,11.224,-17.08,1006.744
489,9.76,-16.592,1002.84
490,13.176,-17.568,1003.328
491,10.736,-19.52,1002.84
492,13.176,-17.568,1009.184
493,12.2,-18.056,1005.768
494,13.664,-16.592,1003.816
495,14.64,-15.616,1006.256
496,14.152,-20.984,1006.744
497,11.224,-16.104,1005.28
498,12.2,-19.52,999.424
499,15.128,-13.176,1000.4
500,13.176,-17.08,1002.84
501,13.176,-16.104,1005.768
502,13.176,-20.008,1005.768
503,12.688,-16.592,1001.864
504,13.176,-19.52,999.424
505,12.2,-19.032,1004.304
506,14.152,-14.152,1003.816
507,12.688,-19.52,1003.328
508,11.224,-19.52,1004.792
509,14.64,-16.104,1005.28
510,12.688,-18.544,1002.84
511,12.2,-14.152,1000.888
512,11.712,-16.104,1003.816
513,13.664,-18.544,1005.28
514,11.224,-18.056,1000.4
515,12.688,-15.128,1004.792
516,12.2,-16.592,1001.376
517,11.224,-18.056,1003.816
518,16.104,-16.592,1002.84
519,13.176,-15.128,1002.352
520,15.128,-15.128,1003.328
521,15.128,-14.152,1000.888
522,14.152,-16.104,1002.352
523,14.152,-14.152,1002.352
524,12.2,-16.104,1003.328
525,8.784,-14.64,1003.816
526,9.272,-19.032,1003.328
527,11.224,-17.568,1002.84
528,9.76,-15.128,1001.376
529,14.152,-16.104,1002.352
530,11.712,-11.712,1002.352
531,10.736,-14.64,999.912
532,5.368,-18.544,999.912
533,12.688,-18.056,1003.328
534,15.128,-17.568,1001.376
535,13.664,-16.104,1000.888
536,13.664,-18.056,1002.84
537,11.224,-14.64,999.424
538,16.104,-17.08,1000.4
539,12.2,-17.08,1001.376
540,11.712,-16.104,1001.376
541,15.616,-19.032,997.96
542,12.2,-16.104,998.936
543,13.176,-11.712,998.936
544,16.592,-16.104,1003.328
545,13.176,-16.104,1005.28
546,11.224,-16.592,999.912
547,12.688,-14.64,999.424
548,17.568,-16.104,996.984
549,12.688,-18.056,1001.864
550,12.688,-17.568,999.424
551,11.712,-17.08,1000.888
552,14.152,-15.128,1002.352
553,11.224,-15.616,1002.84
554,13.664,-16.104,1000.4
555,12.688,-14.64,1002.84
556,15.128,-16.104,998.448
557,14.152,-16.104,1002.352
558,11.712,-14.64,1000.888
559,14.64,-18.056,1002.352
560,10.736,-20.008,1004.304
561,9.272,-16.104,1004.792
562,10.736,-15.128,1000.4
563,13.176,-20.008,1004.792
564,10.248,-17.08,1004.792
565,16.104,-18.056,1006.256
566,14.64,-12.688,1001.376
567,11.224,-15.128,1003.328
568,12.688,-14.152,1002.352
569,15.128,-17.08,1001.864
570,12.688,-14.152,1000.4
571,10.248,-17.08,1000.888
572,13.176,-14.64,1004.304
573,11.224,-18.056,1003.328
574,13.664,-13.176,1000.888
575,12.2,-15.616,1001.376
576,14.152,-16.104,1003.328
577,13.176,-13.664,1004.792
578,11.712,-15.128,1002.352
